Date,PS2/PS3,PSP,PS4,PS5
Q1 '11,3.20,1.80,,
Q2 '11,4.90,1.70,,
Q3 '11,7.40,2.40,,
Q4 '11,2.50,0.90,,
Q1 '12,2.80,1.40,,
Q2 '12,3.50,1.60,,
Q3 '12,6.80,2.70,,
Q4 '12,3.40,1.30,,
Q1 '13,1.10,0.60,,
Q2 '13,2,0.80,,
Q3 '13,3.30,2,4.50,
Q4 '13,0.70,0.70,3,
Q1 '14,0.80,0.75,2.70,
Q2 '14,0.80,0.70,3.30,
Q3 '14,1.10,1.40,6.40,
Q4 '14,0.40,0.45,2.40,
Q1 '15,,,3,
Q2 '15,,,4,
Q3 '15,,,8.40,
Q4 '15,,,2.30,
Q1 '16,,,3.50,
Q2 '16,,,3.90,
Q3 '16,,,9.70,
Q4 '16,,,2.90,
Q1 '17,,,3.30,
Q2 '17,,,4.20,
Q3 '17,,,9,
Q4 '17,,,2.50,
Q1 '18,,,3.20,
Q2 '18,,,3.90,
Q3 '18,,,8.10,
Q4 '18,,,2.60,
Q1 '19,,,3.20,
Q2 '19,,,2.80,
Q3 '19,,,6,
Q4 '19,,,1.40,
Q1 '20,,,1.90,
Q2 '20,,,1.50,
Q3 '20,,,1.40,4.50
Q4 '20,,,1,3.30
Q1 '21,,,0.50,2.30
Q2 '21,,,0.20,3.30
Q3 '21,,,0.20,3.90
